update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1298,21185792,152.08547452883974,135793,3.9594995496123104,0.01980177618165822,3.7750000953674316,3.9944443702697754,14.58015943312666,7.128641786571938,2.0,81.0,0.6450325753539801,3.6363268569111824,-0.005828502663462132,0.007355133984674467,0.06843902753836849,3.9594995496123104,0.01980177618165822,3.7750000953674316,3.9944443702697754
1299,21202176,155.2370305340733,135899,3.957517457357467,0.11779717260317465,0.0,3.9944443702697754,14.060292850990525,6.968971436101691,2.0,59.0,0.6170035311952233,3.63633269444108,-0.015065909216900764,0.011195607003173791,0.07405514775142652,3.957517457357467,0.11779717260317465,0.0,3.9944443702697754
1300,21218560,155.36888338067737,136005,3.9602755999503305,0.018926564398354412,3.8583333492279053,3.9944443702697754,14.300777873811581,6.813564265106734,2.0,51.0,0.5653246487490833,3.642224233597517,-0.016632271210255567,0.006870683449960779,0.055557987503263864,3.9602755999503305,0.018926564398354412,3.8583333492279053,3.9944443702697754
1301,21234944,148.4092253924287,136115,3.9575201340907595,0.11775428656185943,0.0,3.9944443702697754,14.053540587219343,6.53888861511584,2.0,57.0,0.5624185493215919,3.649079829454422,-0.0039648922474953,0.009585952695488231,0.06625372511029545,3.9575201340907595,0.11775428656185943,0.0,3.9944443702697754
1302,21251328,152.38777176834705,136222,3.961153504603793,0.017665484630887802,3.8777778148651123,3.9944443702697754,13.98473282442748,6.359576350496507,2.0,44.0,0.5667128888890147,3.6575892716646194,-0.010947553397272713,0.0049253459146711975,0.056374606757149906,3.961153504603793,0.017665484630887802,3.8777778148651123,3.9944443702697754
1303,21267712,149.8993014240182,136332,3.9623327596131777,0.01814211517392568,3.799999952316284,3.9944443702697754,13.560200668896321,6.531161832026515,2.0,72.0,0.5850419867783785,3.6588136106729507,-0.0035856653994414955,0.004836799802433234,0.05243783626517748,3.9623327596131777,0.01814211517392568,3.799999952316284,3.9944443702697754
1304,21284096,148.5628140467124,136442,3.9506241543215297,0.2013884545939522,0.0,3.9944443702697754,14.108919382504288,6.2087173291616535,2.0,45.0,0.6293507777154446,3.653256006538868,0.007533557413808012,0.023524292617366882,0.09124443815386044,3.9506241543215297,0.2013884545939522,0.0,3.9944443702697754
1305,21300480,152.8817112445426,136549,3.960703242871163,0.019185731726905995,3.8138887882232666,3.9944443702697754,14.146828844483059,6.906863703973537,2.0,67.0,0.7018736600875854,3.644970767199993,0.013342345064302208,0.007907132960099261,0.06693419080883012,3.960703242871163,0.019185731726905995,3.8138887882232666,3.9944443702697754
1306,21316864,149.17695921570737,136659,3.960038975874583,0.019498700367728175,3.847222328186035,3.9944443702697754,14.385964912280702,7.019532612933144,2.0,55.0,0.7155867200344801,3.6437558233737946,0.015405408674268983,0.006089883620006731,0.0654918183854788,3.960038975874583,0.019498700367728175,3.847222328186035,3.9944443702697754
1307,21333248,147.86575478331875,136770,3.956878764197616,0.11975639038866892,0.0,3.9944443702697754,14.251561106155219,6.851623570790435,2.0,58.0,0.6846024068072438,3.6263506300747395,0.004355964059868711,0.012845728284446523,0.07671242027985728,3.956878764197616,0.11975639038866892,0.0,3.9944443702697754
